papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
GETT3,2.4,7.55,1.24,1.336,0.0,0.081,3.13,6.04,3.36,6.86,4.78,22.13,17.66,1.03,1.36,16.41,0.0,3618060000.0,0.34,0.0,82.93
RAPT3,7.66,7.91,0.81,0.201,5.36,0.139,0.5,1.76,-0.65,6.53,5.17,11.38,4.61,2.06,9.91,10.27,300621.0,3105150000.0,2.93,16.83,82.93
EQTL3,36.29,14.73,1.7,0.964,2.17,0.393,8.83,4.6,-0.78,9.05,7.34,20.96,8.26,1.24,9.8,11.53,299191000.0,26784000000.0,2.03,27.09,82.79
ROMI3,9.27,8.15,0.71,0.672,9.39,0.348,1.08,10.69,3.43,16.87,9.46,6.29,8.34,2.12,3.9,8.7,892564.0,1218040000.0,0.65,2.39,82.77
UGPA3,16.63,8.19,1.22,0.136,4.21,0.491,2.96,3.51,-2.54,5.84,4.73,3.87,1.78,1.76,16.79,14.9,106051000.0,15195500000.0,0.99,11.02,82.76
KROT11,40.0,10.9,0.86,1.649,0.0,0.443,8.22,5.17,-1.82,7.8,5.85,31.91,16.76,1.38,9.55,7.9,0.0,12444500000.0,0.55,8.79,82.63
CGAS3,120.06,9.06,11.2,1.068,8.27,1.134,8.85,5.48,-1.78,8.01,6.51,19.51,11.79,1.95,24.29,123.69,5880.17,1420180000.0,5.98,13.89,82.61
CURY3,29.81,12.05,7.67,2.021,4.08,1.786,5.11,8.57,-18.88,8.31,8.05,23.59,18.08,2.26,33.08,63.68,62345900.0,1133950000.0,1.13,34.85,82.59
CGAS5,1.28,9.66,11.94,1.139,8.53,1.209,9.44,5.84,-1.9,8.37,6.81,19.51,11.79,1.95,24.29,123.69,93494.6,1420180000.0,5.98,13.89,82.56
PSSA3,49.5,11.33,2.31,0.882,3.2,0.647,10.25,1.08,-3.93,0.74,0.73,81.85,7.92,1.13,75.11,20.39,78552000.0,13856800000.0,0.0,18.59,82.52
CPLE11,50.12,10.16,1.14,1.293,0.0,0.496,5.68,7.2,-1.67,10.27,7.6,17.96,12.67,1.48,8.01,11.2,0.0,26272200000.0,0.72,2.06,82.52
CEDO3,29.4,2.95,0.94,0.284,0.0,0.303,4.43,1.62,-1.22,3.75,3.3,17.5,9.64,1.19,20.24,31.82,5856.14,313676000.0,1.25,9.44,82.46
CEDO4,19.3,1.93,0.62,0.186,0.0,0.199,2.91,1.07,-0.8,3.19,2.81,17.5,9.64,1.19,20.24,31.82,34706.0,313676000.0,1.25,9.44,82.46
NAFG3,64.37,11.8,2.76,1.102,0.0,1.153,3.2,7.35,60.48,8.64,6.57,14.99,9.28,2.52,19.92,23.42,0.0,316392000.0,0.81,9.49,82.41
NAFG4,64.42,11.81,2.76,1.103,0.0,1.154,3.2,7.36,60.52,8.65,6.57,14.99,9.28,2.52,19.92,23.42,0.0,316392000.0,0.81,9.49,82.41
TMGC12,5.5,8.71,1.12,0.8,0.0,0.77,4.66,12.27,8.22,10.94,10.94,6.52,9.18,1.69,8.73,12.83,0.0,1167010000.0,0.05,10.49,82.41
VBBR3,19.18,3.47,1.04,0.121,9.29,0.345,1.7,4.72,-1.41,9.31,8.14,2.56,3.48,1.94,8.45,30.13,173503000.0,20557000000.0,1.28,17.09,82.32
EEEL4,4.1,6.59,1.3,1.716,0.0,0.484,12.38,3.58,-1.07,6.47,6.44,47.89,26.11,1.28,14.19,19.76,0.0,3021440000.0,1.15,16.16,82.26
EGIE3,40.45,9.81,2.73,2.84,5.75,0.626,17.4,5.76,-1.07,9.29,7.74,49.34,29.64,1.27,12.39,27.84,57891500.0,12083000000.0,2.14,3.72,82.24
